Player,Club,Season,Goals,Assists,Combined
Molla Wagué,Watford FC,2017,1,0,1
James McClean,West Bromwich Albion,2017,1,0,1
Per Mertesacker,Arsenal FC,2017,1,0,1
Oriol Romeu,Southampton FC,2017,1,0,1
Henri Saivet,Newcastle United,2017,1,0,1
Angelo Ogbonna,West Ham United,2017,1,0,1
Luciano Narsingh,Swansea City,2017,1,0,1
Aleksandar Mitrovi?,Newcastle United,2017,1,0,1
James Morrison,West Bromwich Albion,2017,1,0,1
Isaac Hayden,Newcastle United,2017,1,0,1
Victor Wanyama,Tottenham Hotspur,2017,1,0,1
Étienne Capoue,Watford FC,2017,1,0,1
Leonardo Ulloa,Brighton & Hove Albion,2017,1,0,1
Miguel Britos,Watford FC,2017,1,0,1
Yannick Bolasie,Everton FC,2017,1,0,1
Eric Bailly,Manchester United,2017,1,0,1
Jan Bednarek,Southampton FC,2017,1,0,1
James Collins,West Ham United,2017,1,0,1
Kurt Zouma,Stoke City,2017,1,0,1
Gerard Deulofeu,Watford FC,2017,1,0,1
Ashley Williams,Everton FC,2017,1,0,1
Sam Field,West Bromwich Albion,2017,1,0,1
Danny Drinkwater,Chelsea FC,2017,1,0,1
Scott Dann,Crystal Palace,2017,1,0,1
David Luiz,Chelsea FC,2017,1,0,1
Harry Arter,AFC Bournemouth,2017,1,0,1
Guido Carrillo,Southampton FC,2017,0,1,1
Kieran Gibbs,West Bromwich Albion,2017,0,1,1
Christian Fuchs,Leicester City,2017,0,1,1
Simon Francis,AFC Bournemouth,2017,0,1,1
Phil Foden,Manchester City,2017,0,1,1
Florent Hadergjonaj,Huddersfield Town,2017,0,1,1
Joe Hart,West Ham United,2017,0,1,1
Michael Keane,Everton FC,2017,0,1,1
José Fonte,West Ham United,2017,0,1,1
Wesley Hoedt,Southampton FC,2017,0,1,1
Edimilson Fernandes,West Ham United,2017,0,1,1
Emerson,Chelsea FC,2017,0,1,1
Yohan Cabaye,Crystal Palace,2017,0,1,1
Saido Berahino,Stoke City,2017,0,1,1
Adrien Silva,Leicester City,2017,0,1,1
Hamza Choudhury,Leicester City,2017,0,1,1
Séamus Coleman,Everton FC,2017,0,1,1
Mohamed Elneny,Arsenal FC,2017,0,1,1
Shane Duffy,Brighton & Hove Albion,2017,0,1,1
Fousséni Diabaté,Leicester City,2017,0,1,1
Jonjoe Kenny,Everton FC,2017,0,1,1
Jonas Lössl,Huddersfield Town,2017,0,1,1
Tom Smith,Huddersfield Town,2017,0,1,1
Jeffrey Schlupp,Crystal Palace,2017,0,1,1
Christopher Schindler,Huddersfield Town,2017,0,1,1
Abdelhamid Sabiri,Huddersfield Town,2017,0,1,1
Lasse Sørensen,Stoke City,2017,0,1,1
Joel Ward,Crystal Palace,2017,0,1,1
Pablo Zabaleta,West Ham United,2017,0,1,1
Harry Winks,Tottenham Hotspur,2017,0,1,1
Ashley Westwood,Burnley FC,2017,0,1,1
Danny Rose,Tottenham Hotspur,2017,0,1,1
Erik Pieters,Stoke City,2017,0,1,1
Oliver McBurnie,Swansea City,2017,0,1,1
Manquillo,Newcastle United,2017,0,1,1
Scott Malone,Huddersfield Town,2017,0,1,1
Benjamin Mendy,Manchester City,2017,0,1,1
Charly Musonda,Chelsea FC,2017,0,1,1
Jérémy Pied,Southampton FC,2017,0,1,1
Martin Olsson,Swansea City,2017,0,1,1
Allan Nyom,West Bromwich Albion,2017,0,1,1
Marvin Zeegelaar,Watford FC,2017,0,1,1
Player,,,,,
