Port Name,Date,Month,Vehicle Type,Number of People,Port ID
Brownsville,2019-01-01,January,Truck Containers Full,12189,3
Brownsville,2019-01-01,January,Pedestrians,233073,3
Brownsville,2019-01-01,January,Bus Passengers,4424,3
Brownsville,2019-01-01,January,Personal Vehicles,398495,3
Brownsville,2019-01-01,January,Truck Containers Empty,10214,3
Brownsville,2019-01-01,January,Personal Vehicle Passengers,844406,3
Brownsville,2018-12-01,December,Trucks,18678,3
Brownsville,2018-12-01,December,Personal Vehicle Passengers,910576,3
Brownsville,2018-12-01,December,Rail Containers Empty,6438,3
Brownsville,2018-12-01,December,Truck Containers Empty,8818,3
Brownsville,2018-12-01,December,Pedestrians,268993,3
Brownsville,2018-12-01,December,Bus Passengers,4428,3
Brownsville,2018-12-01,December,Personal Vehicles,408228,3
Brownsville,2018-12-01,December,Truck Containers Full,9871,3
Brownsville,2018-11-01,November,Rail Containers Empty,6159,3
Brownsville,2018-11-01,November,Personal Vehicles,377265,3
Brownsville,2018-11-01,November,Truck Containers Empty,9734,3
Brownsville,2018-11-01,November,Truck Containers Full,12386,3
Brownsville,2018-11-01,November,Bus Passengers,3667,3
Brownsville,2018-11-01,November,Personal Vehicle Passengers,798292,3
Brownsville,2018-11-01,November,Trucks,22095,3
Brownsville,2018-11-01,November,Pedestrians,243032,3
Brownsville,2018-10-01,October,Pedestrians,249097,3
Brownsville,2018-10-01,October,Truck Containers Empty,10330,3
Brownsville,2018-10-01,October,Rail Containers Empty,6791,3
Brownsville,2018-10-01,October,Bus Passengers,2697,3
Brownsville,2018-10-01,October,Trucks,24259,3
Brownsville,2018-10-01,October,Truck Containers Full,13968,3
Brownsville,2018-10-01,October,Personal Vehicles,390127,3
Brownsville,2018-10-01,October,Personal Vehicle Passengers,812933,3
Brownsville,2018-09-01,September,Trucks,21125,3
Brownsville,2018-09-01,September,Rail Containers Empty,6251,3
Brownsville,2018-09-01,September,Bus Passengers,3279,3
Brownsville,2018-09-01,September,Personal Vehicles,377718,3
Brownsville,2018-09-01,September,Truck Containers Full,12503,3
Brownsville,2018-09-01,September,Personal Vehicle Passengers,799819,3
Brownsville,2018-09-01,September,Pedestrians,232758,3
Brownsville,2018-09-01,September,Truck Containers Empty,8656,3
Brownsville,2018-08-01,August,Rail Containers Empty,6350,3
Brownsville,2018-08-01,August,Bus Passengers,4936,3
Brownsville,2018-08-01,August,Trucks,23676,3
Brownsville,2018-08-01,August,Personal Vehicles,400635,3
Brownsville,2018-08-01,August,Personal Vehicle Passengers,853942,3
Brownsville,2018-08-01,August,Pedestrians,240455,3
Brownsville,2018-08-01,August,Truck Containers Full,13976,3
Brownsville,2018-08-01,August,Truck Containers Empty,9724,3
Brownsville,2018-07-01,July,Personal Vehicles,394672,3
Brownsville,2018-07-01,July,Trucks,21304,3
Brownsville,2018-07-01,July,Personal Vehicle Passengers,859449,3
Brownsville,2018-07-01,July,Pedestrians,239475,3
Brownsville,2018-07-01,July,Bus Passengers,6173,3
Brownsville,2018-07-01,July,Truck Containers Full,12445,3
Brownsville,2018-07-01,July,Rail Containers Empty,7651,3
Brownsville,2018-07-01,July,Truck Containers Empty,8877,3
Brownsville,2018-06-01,June,Rail Containers Empty,7853,3
Brownsville,2018-06-01,June,Bus Passengers,3444,3
Brownsville,2018-06-01,June,Trucks,21035,3
Brownsville,2018-06-01,June,Truck Containers Empty,7957,3
Brownsville,2018-06-01,June,Personal Vehicle Passengers,781051,3
Brownsville,2018-06-01,June,Truck Containers Full,13104,3
Brownsville,2018-06-01,June,Pedestrians,226876,3
Brownsville,2018-06-01,June,Personal Vehicles,378865,3
Brownsville,2018-05-01,May,Truck Containers Full,13278,3
Brownsville,2018-05-01,May,Personal Vehicle Passengers,884418,3
Brownsville,2018-05-01,May,Trucks,21547,3
Brownsville,2018-05-01,May,Rail Containers Empty,8451,3
Brownsville,2018-05-01,May,Personal Vehicles,418111,3
Brownsville,2018-05-01,May,Pedestrians,251607,3
Brownsville,2018-05-01,May,Truck Containers Empty,8302,3
Brownsville,2018-05-01,May,Bus Passengers,3432,3
Brownsville,2018-04-01,April,Rail Containers Empty,7351,3
Brownsville,2018-04-01,April,Personal Vehicles,408662,3
Brownsville,2018-04-01,April,Truck Containers Full,12636,3
Brownsville,2018-04-01,April,Truck Containers Empty,8153,3
Brownsville,2018-04-01,April,Personal Vehicle Passengers,857662,3
Brownsville,2018-04-01,April,Pedestrians,243547,3
Brownsville,2018-04-01,April,Bus Passengers,3563,3
Brownsville,2018-04-01,April,Trucks,20761,3
Brownsville,2018-03-01,March,Trucks,21116,3
Brownsville,2018-03-01,March,Personal Vehicles,423667,3
Brownsville,2018-03-01,March,Truck Containers Full,12780,3
Brownsville,2018-03-01,March,Rail Containers Empty,5921,3
Brownsville,2018-03-01,March,Personal Vehicle Passengers,891765,3
Brownsville,2018-03-01,March,Bus Passengers,4389,3
Brownsville,2018-03-01,March,Pedestrians,263286,3
Brownsville,2018-03-01,March,Truck Containers Empty,8360,3
Brownsville,2018-02-01,February,Truck Containers Full,11886,3
Brownsville,2018-02-01,February,Truck Containers Empty,7524,3
Brownsville,2018-02-01,February,Personal Vehicle Passengers,771932,3
Brownsville,2018-02-01,February,Pedestrians,221098,3
